BRANDY ALEXANDER,RED,F3E2DC,243,226,220,16,0.489361702127659,0.907843137254902
STRAWFLOWER,RED,DDBDBA,221,189,186,5,0.339805825242719,0.798039215686275
FLORAL TAPESTRY,RED,C39191,195,145,145,0,0.294117647058823,0.666666666666667
HORIZON GLOW,RED,AD7171,173,113,113,0,0.267857142857143,0.56078431372549
MESA RED,RED,92555B,146,85,91,354,0.264069264069264,0.452941176470588
RUBY LIPS,RED,813E45,129,62,69,354,0.350785340314136,0.374509803921569
COW'S MILK,RED,F1EDE5,241,237,229,40,0.3,0.92156862745098
SHANGRI LA,RED,ECD4D2,236,212,210,5,0.40625,0.874509803921569
POWDERED PETALS,RED,E3C7C6,227,199,198,2,0.341176470588235,0.833333333333333
RADIANT ROUGE,RED,D7B1B2,215,177,178,358,0.322033898305085,0.768627450980392
BRANDY SNAPS,RED,B58E8B,181,142,139,4,0.221052631578948,0.627450980392157
CLAY RIDGE,RED,956A66,149,106,102,5,0.187250996015936,0.492156862745098
BURGUNDY WINE,RED,6C403E,108,64,62,3,0.270588235294118,0.333333333333333
WINTER WEDDING,RED,F1E4DC,241,228,220,23,0.428571428571428,0.903921568627451
SWEET TRUFFLE,RED,F0DCD7,240,220,215,12,0.454545454545455,0.892156862745098
WHIRLIGIG,RED,E6CDCA,230,205,202,6,0.358974358974359,0.847058823529412
TEA TIME,RED,D9BEBC,217,190,188,4,0.276190476190476,0.794117647058824
TAWNY MUSHROOM,RED,B39997,179,153,151,4,0.155555555555555,0.647058823529412
OAKWOOD BROWN,RED,8F716E,143,113,110,5,0.130434782608696,0.496078431372549
CHOCOLATE ECLAIR,RED,674848,103,72,72,0,0.177142857142857,0.343137254901961
FRESH DOUGH,RED,F2EBE6,242,235,230,25,0.31578947368421,0.925490196078431
HAWAIIAN SHELL,RED,F3DBD9,243,219,217,5,0.52,0.901960784313725
ROSE HIP,RED,DBB9B6,219,185,182,5,0.339449541284404,0.786274509803922
PEPPERBERRY,RED,C79D9B,199,157,155,3,0.282051282051282,0.694117647058824
CINNAMON DIAMONDS,RED,A97673,169,118,115,3,0.238938053097345,0.556862745098039
BARN DOOR,RED,8E5959,142,89,89,0,0.229437229437229,0.452941176470588
BORDEAUX,RED,774041,119,64,65,359,0.300546448087432,0.358823529411765
SEA ANEMONE,RED,E8DAD6,232,218,214,13,0.28125,0.874509803921569
ROMEO,RED,E3D2CE,227,210,206,11,0.272727272727273,0.849019607843137
ASHES OF ROSES,RED,D9BCB7,217,188,183,9,0.309090909090909,0.784313725490196
RAFFIA CREAM,RED,CDA09A,205,160,154,7,0.337748344370861,0.703921568627451
EARTH ROSE,RED,B57770,181,119,112,6,0.317972350230415,0.574509803921569
FIRE WEED,RED,9B5B55,155,91,85,5,0.291666666666667,0.470588235294118
BRICK DUST,RED,86423E,134,66,62,3,0.36734693877551,0.384313725490196
MACADAMIA NUT,RED,EEE3DD,238,227,221,21,0.333333333333333,0.9
COOL MELON,RED,EBD1CD,235,209,205,8,0.428571428571428,0.862745098039216
ROSE PETAL,RED,E6C1BB,230,193,187,8,0.462365591397849,0.817647058823529
CORAL COVE,RED,DDA69F,221,166,159,7,0.476923076923077,0.745098039215686
CHILI PEPPER,RED,CA7C74,202,124,116,6,0.447916666666667,0.623529411764706
SIENNA RED,RED,B1635E,177,99,94,4,0.347280334728033,0.531372549019608
BURNING BUSH,RED,A0403E,160,64,62,1,0.441441441441441,0.435294117647059
POTPOURRI,RED,F1E0DB,241,224,219,14,0.44,0.901960784313725
CAMEO PEACH,RED,EBCFC9,235,207,201,11,0.459459459459459,0.854901960784314
TANGY TAFFY,RED,E7CAC3,231,202,195,12,0.428571428571429,0.835294117647059
MESA PINK,RED,DDB1A8,221,177,168,10,0.43801652892562,0.762745098039216
SUNSTONE,RED,C7887F,199,136,127,8,0.391304347826087,0.63921568627451
PIZZA PIE,RED,AB6057,171,96,87,6,0.333333333333333,0.505882352941176
AUTUMN RIDGE,RED,9B423F,155,66,63,2,0.422018348623853,0.427450980392157
